@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute awake numeric
@attribute sleep numeric

@data
1,'2020/04/02 18:30:28:439',1,0.001906,0.0017,0.001579,0.001545,0.001583,0.001695,0.001839,0.001968,0.001988,0.001969,0.001869,0.001739,0.001644,0.001586,0.001598,0.001713,0.001938,0.001868,0.001863,0.001731,0.001557,0.001406,0.001465,0.001639,0.001845,0.002015,0.001965,0.001023,0.00067,0.000335,0,0.000402,0.0003,0.0003,0.000343,0.000466,0.001381,0.001364,0.001238,0.000966,0.001011,0.001183,0.001031,0.00131,0.001463,0.001489,0.00129,0.001109,0.000946,0.000732,0.000582,0.000595,0.000588,0.000769,0.001038,0.001139,0.00117,0.001171,0.001167,0.001115,0.000903,0.000721,0.000725,0.000753,0.000963,0.000911,0.000929,0.000907,1,0
2,'2020/04/02 18:30:28:491',1,0.001813,0.001613,0.001519,0.001509,0.001572,0.001699,0.001842,0.001988,0.002009,0.001989,0.001862,0.00174,0.001622,0.001548,0.001553,0.001661,0.001873,0.001777,0.001775,0.001622,0.001456,0.001307,0.001361,0.001564,0.001758,0.001926,0.0019,0.00095,0.000621,0.000329,0,0.000395,0.000294,0.000294,0.000337,0.000458,0.001321,0.001284,0.001162,0.000899,0.000964,0.001125,0.000972,0.001231,0.001385,0.001426,0.00123,0.00105,0.000947,0.00073,0.000577,0.000622,0.000601,0.000786,0.001008,0.001153,0.001186,0.001188,0.001178,0.001116,0.000897,0.000703,0.000713,0.000722,0.00095,0.000953,0.00095,0.00094,1,0
3,'2020/04/02 18:30:28:539',1,0.001807,0.001621,0.001504,0.001484,0.001525,0.001641,0.001776,0.001897,0.001921,0.001911,0.001798,0.001707,0.001602,0.001563,0.001558,0.001669,0.001864,0.001783,0.001813,0.001671,0.001501,0.001352,0.00141,0.001622,0.001808,0.001949,0.001909,0.000978,0.000652,0.000345,0,0.000367,0.000276,0.000274,0.00032,0.000445,0.001334,0.001315,0.001191,0.000918,0.000975,0.00114,0.001004,0.001276,0.001438,0.001463,0.001269,0.001094,0.000911,0.000708,0.000558,0.0006,0.000585,0.000772,0.001012,0.001093,0.001112,0.001106,0.001094,0.001049,0.000869,0.000679,0.00069,0.000704,0.000949,0.000878,0.000871,0.00086,1,0
4,'2020/04/02 18:30:28:588',1,0.001768,0.001599,0.001485,0.001485,0.00153,0.00166,0.001789,0.00192,0.001923,0.001904,0.001792,0.001671,0.001567,0.001526,0.001532,0.001641,0.001833,0.001755,0.001769,0.001621,0.001465,0.001317,0.001344,0.001524,0.001714,0.001879,0.00186,0.000944,0.000623,0.00032,0,0.000395,0.000303,0.000287,0.000331,0.00044,0.001302,0.001277,0.001148,0.000893,0.00094,0.001109,0.000972,0.00121,0.001375,0.001404,0.001224,0.001037,0.00091,0.000711,0.000566,0.000589,0.000586,0.000751,0.000982,0.001092,0.001124,0.001123,0.001129,0.001065,0.000869,0.000688,0.000695,0.000704,0.000923,0.000894,0.000909,0.000899,1,0
5,'2020/04/02 18:30:28:636',1,0.001854,0.001663,0.001543,0.001522,0.001579,0.001698,0.001849,0.001982,0.002007,0.001978,0.001861,0.001737,0.001623,0.001557,0.001579,0.0017,0.001906,0.001858,0.001858,0.001717,0.001553,0.001393,0.001451,0.001647,0.00184,0.002,0.001956,0.001004,0.00067,0.000335,0,0.000376,0.000274,0.000281,0.000329,0.000457,0.001382,0.001361,0.001214,0.000966,0.001011,0.001183,0.001031,0.001294,0.001449,0.001477,0.00129,0.001097,0.000946,0.000717,0.000554,0.000596,0.0006,0.000778,0.001039,0.001163,0.001177,0.001172,0.001161,0.00109,0.0009,0.000681,0.00069,0.000705,0.000986,0.000955,0.000948,0.000922,1,0
6,'2020/04/02 18:30:28:684',1,0.001879,0.001685,0.001562,0.00154,0.001579,0.001709,0.001857,0.001986,0.002007,0.001996,0.001878,0.001765,0.001644,0.001581,0.001579,0.001718,0.001947,0.001868,0.001848,0.001698,0.001522,0.001369,0.001429,0.001639,0.00183,0.002001,0.001967,0.001004,0.00067,0.000335,0,0.000392,0.0003,0.000318,0.000343,0.000466,0.001356,0.001349,0.001205,0.000949,0.001011,0.00117,0.001006,0.001294,0.001461,0.001492,0.001278,0.001094,0.00096,0.000732,0.000577,0.000595,0.000588,0.000769,0.001012,0.001156,0.001206,0.001208,0.001182,0.001108,0.0009,0.000703,0.000706,0.000699,0.000949,0.000947,0.000966,0.000944,1,0
7,'2020/04/02 18:30:28:732',1,0.001906,0.001709,0.001574,0.001541,0.001608,0.001736,0.001863,0.001985,0.002006,0.001991,0.001886,0.001768,0.001669,0.001606,0.001613,0.001727,0.001939,0.001899,0.001891,0.001729,0.001571,0.001399,0.001459,0.001654,0.001871,0.00203,0.002002,0.001013,0.000675,0.000338,0,0.000395,0.000312,0.0003,0.000346,0.000461,0.001407,0.001373,0.001241,0.000999,0.001046,0.001206,0.00104,0.001315,0.001474,0.001504,0.001301,0.001118,0.00097,0.000728,0.000582,0.0006,0.000599,0.000776,0.001047,0.001149,0.001162,0.001163,0.001156,0.001117,0.000915,0.000709,0.000713,0.000723,0.000986,0.000941,0.000937,0.000934,1,0
8,'2020/04/02 18:30:28:785',1,0.001784,0.001624,0.001517,0.001501,0.001568,0.001699,0.001838,0.001932,0.001942,0.001913,0.001815,0.001717,0.001615,0.001543,0.001532,0.001615,0.0018,0.001746,0.001754,0.001625,0.001461,0.001303,0.001323,0.001517,0.001704,0.001856,0.001835,0.000944,0.000623,0.00032,0,0.000392,0.000311,0.000305,0.000331,0.00044,0.00129,0.001263,0.001142,0.0009,0.000937,0.00111,0.00094,0.001191,0.001338,0.001377,0.001186,0.001012,0.000988,0.000788,0.00065,0.000679,0.000648,0.0008,0.00101,0.001101,0.001124,0.001124,0.001127,0.001087,0.000956,0.000771,0.000767,0.000773,0.000958,0.000911,0.00091,0.000914,1,0
9,'2020/04/02 18:30:28:833',1,0.001807,0.001624,0.001509,0.001488,0.001526,0.001627,0.001761,0.001884,0.001904,0.001868,0.00175,0.001644,0.001549,0.001476,0.001491,0.001603,0.001811,0.001807,0.001809,0.00166,0.0015,0.001346,0.001394,0.001577,0.001768,0.00192,0.001865,0.00097,0.000647,0.000323,0,0.000379,0.000274,0.00027,0.000306,0.000426,0.001336,0.001315,0.001183,0.000941,0.001002,0.001156,0.00098,0.00125,0.0014,0.001428,0.001247,0.00106,0.000904,0.000702,0.000553,0.000593,0.000568,0.000733,0.000952,0.001061,0.001095,0.001096,0.001085,0.00104,0.000862,0.000676,0.000683,0.000688,0.000894,0.000863,0.000863,0.000853,1,0
10,'2020/04/02 18:30:28:880',1,0.00176,0.001589,0.001473,0.001454,0.001509,0.001641,0.001778,0.001901,0.001939,0.001925,0.001831,0.001745,0.001639,0.00159,0.001581,0.001685,0.001889,0.00177,0.001784,0.00165,0.001477,0.001325,0.001385,0.001599,0.001798,0.001957,0.001921,0.000935,0.000612,0.000306,0,0.000374,0.000297,0.000307,0.000345,0.00045,0.001311,0.00129,0.001141,0.000887,0.000937,0.001105,0.000956,0.001235,0.001399,0.001444,0.001237,0.001044,0.00092,0.000708,0.000567,0.000613,0.000597,0.000783,0.001028,0.001125,0.001155,0.001132,0.001138,0.001074,0.000881,0.000691,0.000702,0.000715,0.000956,0.000906,0.000916,0.000889,1,0
